"ballot_number","position","name","party","ballot_name"
"1","Senator","Albani, Ibrahim","Independent","Albani, Shariff (IND)"
"2","Senator","Ali, Alexander Alimmudin","Partido ng Manggagawa at Magsasaka","Ali, Aldin (WPPPMM)"
"3","Senator","Alunan, Rafael III","Independent","Alunan, Raffy (IND)"
"4","Senator","Ambolodto, Nariman","Liberal Party","Ambolodto, Ina (LP)"
"5","Senator","Arquiza, Godofredo","Independent","Arquiza, Godofredo (IND)"
"6","Senator","Baligod, Levito","Independent","Baligod, Levito (IND)"
"7","Senator","Belgica, Greco Antonious Beda","Independent","Belgica, Greco (IND)"
"8","Senator","Bello, Walden","Independent","Bello, Walden (IND)"
"9","Senator","Cam, Sandra","Pwersa ng Masang Pilipino","Cam, Sandra (PMP)"
"10","Senator","Chavez, Melchor","Partido ng Manggagawa at Magsasaka","Chavez, Mel (WPPPMM)"
"11","Senator","Colmenares, Neri","Makabayan","Colmenares, Neri (MKBYN)"
"12","Senator","De Lima, Leila Norma Eulalia Josefa","Liberal Party","De Lima, Leila (LP)"
"13","Senator","Domagoso, Francisco","Pwersa ng Masang Pilipino","Domagoso, Isko Moreno (PMP)"
"14","Senator","Dorona, Ray","Independent","Dorona, Ray (IND)"
"15","Senator","Drilon, Franklin","Liberal Party","Drilon, Frank (LP)"
"16","Senator","Gadon, Lorenzo","Kilusang Bagong Lipunan","Gadon, Larry (KBL)"
"17","Senator","Gatchalian, Sherwin","Nationalist People's Coalition","Gatchalian, Win (NPC)"
"18","Senator","Gordon, Richard","Independent","Gordon, Dick (IND)"
"19","Senator","Guingona, Teofisto III","Liberal Party","Guingona, TG (LP)"
"20","Senator","Hontiveros, Ana Theresia","Akbayan","Hontiveros, Risa (AKBYN)"
"21","Senator","Kabalu, Mustapha","Independent","Kabalu, Eid (IND)"
"22","Senator","Kapunan, Lorna","Aksyon Demokratiko","Kapunan, Atty. Lorna (AKSYON)"
"23","Senator","Kiram, Princess Jacel","United Nationalist Alliance","Kiram, Princess Jacel (UNA)"
"24","Senator","Lacsamana, Venesa","United Nationalist Alliance","Lacsamana, Alma Moreno (UNA)"
"25","Senator","Lacson, Panfilo","Independent","Lacson, Panfilo (IND)"
"26","Senator","Langit, Rey","United Nationalist Alliance","Langit, Rey (UNA)"
"27","Senator","Lapid, Mark","Aksyon Demokratiko","Lapid, Mark (AKSYON)"
"28","Senator","Liban, Dante","Independent","Liban, Dante (IND)"
"29","Senator","Maganto, Romeo","Lakas-CMD","Maganto, Romeo (LAKAS)"
"30","Senator","Manzano, Eduardo","Independent","Manzano, Edu (IND)"
"31","Senator","Montano, Allan","United Nationalist Alliance","Montano, Allan (UNA)"
"32","Senator","Montaño, Ramon","Independent","Montaño, Mon (IND)"
"33","Senator","Napeñas, Getulio","United Nationalist Alliance","Napeñas, Getulio (UNA)"
"34","Senator","Ople, Maria Susana","Nacionalista Party","Ople, Susan (NP)"
"35","Senator","Osmeña, Sergio III","Independent","Osmeña, Sergio III (IND)"
"36","Senator","Pacquiao, Emmanuel","United Nationalist Alliance","Pacquiao, Manny (UNA)"
"37","Senator","Paez, Cresente","Independent","Paez, Mr. Coop (IND)"
"38","Senator","Pagdilao, Samuel","Independent","Pagdilao, Samuel (IND)"
"39","Senator","Palparan, Jovito Jr.","Independent","Palparan, Jovito Jr. (IND)"
"40","Senator","Pangilinan, Francis","Liberal Party","Pangilinan, Kiko (LP)"
"41","Senator","Petilla, Carlos Jericho","Liberal Party","Petilla, Carlos Jericho (LP)"
"42","Senator","Recto, Ralph","Liberal Party","Recto, Ralph (LP)"
"43","Senator","Romualdez, Ferdinand Martin","Lakas-CMD","Romualdez, Martin (LAKAS)"
"44","Senator","Romulo, Roman","Independent","Romulo, Roman (IND)"
"45","Senator","Santiago, Dionisio","Independent","Santiago, Dionisio (IND)"
"46","Senator","Sotto, Vicente III","Nationalist People's Coalition","Sotto, Vicente (NPC)"
"47","Senator","Tolentino, Francis","Independent","Tolentino, Francis (IND)"
"48","Senator","Valeroso, Diosdado","Independent","Valeroso, Diosdado (IND)"
"49","Senator","Villanueva, Emmanuel Joel","Liberal Party","Villanueva, Joel Tesdaman (LP)"
"50","Senator","Zubiri, Juan Miguel","Independent","Zubiri, Migz (IND"
